order_id,customer_id,order_date,product_category,order_value,payment_method,delivered
1,76,2023-01-01 00:00:00,Home,103.87,Wallet,1
2,108,2023-01-02 00:00:00,Home,139.61,Cash,1
3,156,2023-01-03 00:00:00,Books,81.76,Cash,1
4,82,2023-01-04 00:00:00,Electronics,95.05,Cash,1
5,77,2023-01-05 00:00:00,Clothing,39.99,Credit Card,1
6,258,2023-01-06 00:00:00,Electronics,87.4,Wallet,1
7,127,2023-01-07 00:00:00,Books,18.08,Wallet,1
8,282,2023-01-08 00:00:00,Books,25.41,Cash,1
9,88,2023-01-09 00:00:00,Clothing,19.06,UPI,1
10,204,2023-01-10 00:00:00,Beauty,31.5,Credit Card,1
11,16,2023-01-11 00:00:00,Beauty,16.81,UPI,1
12,151,2023-01-12 00:00:00,Clothing,163,Debit Card,1
13,254,2023-01-13 00:00:00,Beauty,18.76,Wallet,1
14,188,2023-01-14 00:00:00,Home,5.16,Wallet,1
15,32,2023-01-15 00:00:00,Beauty,37.41,UPI,1
16,271,2023-01-16 00:00:00,Beauty,2.94,Credit Card,1
17,5,2023-01-17 00:00:00,Beauty,5.86,Wallet,0
18,169,2023-01-18 00:00:00,Home,12.38,UPI,1
19,181,2023-01-19 00:00:00,Beauty,31.21,Credit Card,1
20,178,2023-01-20 00:00:00,Home,28.39,UPI,1
21,143,2023-01-21 00:00:00,Clothing,80.39,Credit Card,1
22,248,2023-01-22 00:00:00,Electronics,67.25,Cash,1
23,127,2023-01-23 00:00:00,Clothing,27.78,Credit Card,1
24,263,2023-01-24 00:00:00,Electronics,20.3,Debit Card,1
25,40,2023-01-25 00:00:00,Clothing,19.02,Cash,1
26,255,2023-01-26 00:00:00,Electronics,74.36,UPI,1
27,143,2023-01-27 00:00:00,Electronics,2.67,Cash,1
28,240,2023-01-28 00:00:00,Books,0.65,Cash,1
29,228,2023-01-29 00:00:00,Electronics,79.37,UPI,1
30,198,2023-01-30 00:00:00,Electronics,32.42,UPI,1
31,65,2023-01-31 00:00:00,Books,7.01,Debit Card,1
32,11,2023-02-01 00:00:00,Beauty,13.43,UPI,1
33,108,2023-02-02 00:00:00,Beauty,134.78,Wallet,1
34,26,2023-02-03 00:00:00,Books,98.13,Wallet,1
35,151,2023-02-04 00:00:00,Home,61.86,Debit Card,1
36,221,2023-02-05 00:00:00,Electronics,32.91,Credit Card,1
37,237,2023-02-06 00:00:00,Electronics,36.73,Credit Card,1
38,237,2023-02-07 00:00:00,Books,184.94,Wallet,1
39,219,2023-02-08 00:00:00,Books,168.73,UPI,1
40,151,2023-02-09 00:00:00,Home,12.12,Debit Card,1
41,123,2023-02-10 00:00:00,Beauty,83.33,Credit Card,1
42,144,2023-02-11 00:00:00,Clothing,10.99,Credit Card,1
43,189,2023-02-12 00:00:00,Beauty,12.01,Cash,1
44,255,2023-02-13 00:00:00,Electronics,56.36,Wallet,0
45,68,2023-02-14 00:00:00,Books,25.96,UPI,1
46,104,2023-02-15 00:00:00,Home,134.08,Debit Card,1
47,159,2023-02-16 00:00:00,Beauty,4.66,Credit Card,1
48,90,2023-02-17 00:00:00,Home,35.82,Cash,1
49,256,2023-02-18 00:00:00,Beauty,125.37,Wallet,1
50,220,2023-02-19 00:00:00,Electronics,117.23,Wallet,0
51,9,2023-02-20 00:00:00,Clothing,8.51,Debit Card,1
52,12,2023-02-21 00:00:00,Home,22.84,Credit Card,1
53,244,2023-02-22 00:00:00,Home,48.26,Debit Card,1
54,182,2023-02-23 00:00:00,Clothing,8.68,Debit Card,1
55,284,2023-02-24 00:00:00,Home,172.14,Cash,1
56,99,2023-02-25 00:00:00,Home,123.11,Wallet,1
57,197,2023-02-26 00:00:00,Beauty,9.13,UPI,1
58,226,2023-02-27 00:00:00,Beauty,6.46,Wallet,0
59,103,2023-02-28 00:00:00,Clothing,4.46,Wallet,1
60,106,2023-03-01 00:00:00,Electronics,120.09,Cash,1
61,58,2023-03-02 00:00:00,Home,10.76,UPI,1
62,78,2023-03-03 00:00:00,Electronics,26.92,Credit Card,1
63,75,2023-03-04 00:00:00,Clothing,29.79,UPI,1
64,42,2023-03-05 00:00:00,Clothing,45.69,Credit Card,1
65,181,2023-03-06 00:00:00,Beauty,3.72,UPI,1
66,33,2023-03-07 00:00:00,Home,12.86,Debit Card,1
67,71,2023-03-08 00:00:00,Books,134.04,UPI,1
68,56,2023-03-09 00:00:00,Clothing,119.52,Cash,1
69,105,2023-03-10 00:00:00,Home,76,Credit Card,1
70,200,2023-03-11 00:00:00,Electronics,0.98,Wallet,1
71,101,2023-03-12 00:00:00,Beauty,19.8,Cash,1
72,256,2023-03-13 00:00:00,Electronics,49.44,Credit Card,1
73,74,2023-03-14 00:00:00,Clothing,16.09,Credit Card,1
74,171,2023-03-15 00:00:00,Clothing,120.17,Wallet,1
75,143,2023-03-16 00:00:00,Electronics,50.24,Debit Card,1
76,166,2023-03-17 00:00:00,Clothing,3.73,Cash,1
77,261,2023-03-18 00:00:00,Home,119.85,Wallet,1
78,221,2023-03-19 00:00:00,Clothing,158.23,Wallet,1
79,83,2023-03-20 00:00:00,Beauty,4.04,Debit Card,1
80,182,2023-03-21 00:00:00,Home,38,Cash,1
81,10,2023-03-22 00:00:00,Books,18.07,Wallet,1
82,4,2023-03-23 00:00:00,Clothing,24.95,Debit Card,1
83,292,2023-03-24 00:00:00,Clothing,9.9,Cash,1
84,281,2023-03-25 00:00:00,Beauty,43.15,UPI,1
85,215,2023-03-26 00:00:00,Beauty,158.48,Credit Card,1
86,98,2023-03-27 00:00:00,Electronics,34.97,Debit Card,1
87,101,2023-03-28 00:00:00,Electronics,4.33,Credit Card,1
88,9,2023-03-29 00:00:00,Electronics,48.38,UPI,0
89,61,2023-03-30 00:00:00,Beauty,20.79,Wallet,1
90,146,2023-03-31 00:00:00,Electronics,96.87,Wallet,1
91,63,2023-04-01 00:00:00,Electronics,28.52,Cash,1
92,121,2023-04-02 00:00:00,Books,10.71,Debit Card,1
93,226,2023-04-03 00:00:00,Electronics,10.6,Debit Card,1
94,105,2023-04-04 00:00:00,Clothing,73.22,Cash,1
95,260,2023-04-05 00:00:00,Beauty,15.43,Credit Card,1
96,255,2023-04-06 00:00:00,Home,72.89,Wallet,1
97,207,2023-04-07 00:00:00,Books,11.53,Wallet,1
98,28,2023-04-08 00:00:00,Beauty,19.41,Debit Card,1
99,170,2023-04-09 00:00:00,Beauty,31.32,Debit Card,1
100,76,2023-04-10 00:00:00,Clothing,143.41,Cash,1
101,116,2023-04-11 00:00:00,Electronics,134.22,UPI,1
102,69,2023-04-12 00:00:00,Clothing,11.59,Credit Card,1
103,234,2023-04-13 00:00:00,Electronics,22.18,UPI,1
104,1,2023-04-14 00:00:00,Electronics,8.09,UPI,1
105,167,2023-04-15 00:00:00,Beauty,35.67,Debit Card,1
106,218,2023-04-16 00:00:00,Electronics,30.86,Debit Card,0
107,273,2023-04-17 00:00:00,Books,115.51,Debit Card,1
108,251,2023-04-18 00:00:00,Books,132.97,UPI,1
109,174,2023-04-19 00:00:00,Books,24.19,Credit Card,1
110,170,2023-04-20 00:00:00,Beauty,33.84,Debit Card,1
